ID Pedido,Fecha compra,Modo envío,ID Cliente,ID Producto,Precio unitario,Cantidad,Importe,Segmento,País,Categoría,Sub-categoría,Nombre Producto,Coste Producción,Beneficio
CA-2016-152156,2020-11-08 00:00:00,Second Class,CG-12520,FUR-BO-10001798,"261,96",2,"523,92",Consumer,United States,Furniture,Bookcases,Bush Somerset Collection Bookcase,"230,098156350514","63,7236872989718"
CA-2017-110198,2021-05-01 00:00:00,First Class,AG-10900,FUR-BO-10001798,"314,352",3,"943,056",Consumer,United States,Furniture,Bookcases,Bush Somerset Collection Bookcase,"230,098156350514","252,761530948458"
CA-2017-159793,2021-08-25 00:00:00,Standard Class,SV-20365,FUR-BO-10001798,"130,98",2,"261,96",Consumer,United States,Furniture,Bookcases,Bush Somerset Collection Bookcase,"230,098156350514","-198,236312701028"
CA-2016-117681,2020-04-09 00:00:00,Standard Class,HF-14995,FUR-BO-10001798,"556,665",5,"2783,325",Consumer,Germany,Furniture,Bookcases,Bush Somerset Collection Bookcase,"230,098156350514","1632,83421824743"
CA-2016-152156,2020-11-08 00:00:00,Second Class,CG-12520,FUR-CH-10000454,"731,94",3,"2195,82",Consumer,United States,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","506,511810913238"
CA-2017-105823,2021-06-22 00:00:00,Standard Class,RB-19465,FUR-CH-10000454,"487,96",2,"975,92",Home Office,United States,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","-150,285459391175"
CA-2016-114489,2020-12-05 00:00:00,Standard Class,JE-16165,FUR-CH-10000454,"1951,84",8,"15614,72",Corporate,United States,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","11109,8981624353"
CA-2017-108035,2021-11-29 00:00:00,Standard Class,TT-21070,FUR-CH-10000454,"390,368",2,"780,736",Consumer,United States,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","-345,469459391175"
CA-2016-120530,2020-04-07 00:00:00,Standard Class,Dl-13600,FUR-CH-10000454,"658,746",3,"1976,238",Corporate,United States,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","286,929810913238"
CA-2016-105746,2020-12-30 00:00:00,First Class,BD-11605,FUR-CH-10000454,"170,786",1,"170,786",Consumer,United States,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","-392,316729695588"
CA-2016-111213,2020-04-01 00:00:00,Standard Class,FP-14320,FUR-CH-10000454,"1317,492",6,"7904,952",Consumer,United States,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","4526,33562182648"
CA-2014-107818,2018-09-08 00:00:00,Standard Class,MC-17275,FUR-CH-10000454,"975,92",5,"4879,6",Consumer,Germany,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","2064,08635152206"
CA-2017-143567,2021-11-02 00:00:00,Second Class,TB-21175,FUR-CH-10000454,"975,92",4,"3903,68",Corporate,Germany,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","1651,26908121765"
CA-2014-132451,2018-09-26 00:00:00,First Class,KF-16285,FUR-CH-10000454,"585,552",3,"1756,656",Home Office,Spain,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","67,3478109132375"
CA-2016-124590,2020-11-12 00:00:00,Standard Class,SP-20920,FUR-CH-10000454,"1537,074",9,"13833,666",Consumer,Spain,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","8765,74143273971"
CA-2014-154963,2018-06-22 00:00:00,Standard Class,AA-10645,FUR-CH-10000454,"853,93",5,"4269,65",Consumer,Romania,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","563,102729695588","1454,13635152206"
CA-2017-164098,2021-01-26 00:00:00,First Class,CG-12520,OFF-ST-10000615,"18,16",2,"36,32",Consumer,United States,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","22,7442773305175","-9,1685546610351"
US-2017-118038,2021-12-09 00:00:00,First Class,KB-16600,OFF-ST-10000615,"27,24",3,"81,72",Corporate,United States,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","22,7442773305175","13,4871680084474"
CA-2017-126928,2021-09-17 00:00:00,Standard Class,GZ-14470,OFF-ST-10000615,"34,05",3,"102,15",Consumer,United States,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","22,7442773305175","33,9171680084473"
CA-2016-115224,2020-12-08 00:00:00,Second Class,DB-13615,OFF-ST-10000615,"34,05",3,"102,15",Consumer,United States,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","22,7442773305175","33,9171680084473"
CA-2017-100111,2021-09-20 00:00:00,Standard Class,SV-20365,OFF-ST-10000615,"45,4",4,"181,6",Consumer,United States,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","22,7442773305175","90,6228906779298"
CA-2014-151330,2018-10-14 00:00:00,First Class,TC-21295,OFF-ST-10000615,"79,45",7,"556,15",Consumer,Spain,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","22,7442773305175","396,940058686377"
CA-2017-150504,2021-11-06 00:00:00,Standard Class,HG-14845,OFF-ST-10000615,"18,16",2,"36,32",Consumer,Spain,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","22,7442773305175","-9,1685546610351"
CA-2017-106859,2021-03-13 00:00:00,Second Class,BF-11215,OFF-ST-10000615,"90,8",8,"726,4",Home Office,Spain,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","22,7442773305175","544,44578135586"
US-2015-123918,2019-10-15 00:00:00,Same Day,CG-12520,FUR-FU-10004952,"131,376",6,"788,256",Consumer,United States,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx","70,6600084783238","364,295949130057"
